show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s5972,Movie,(T)ERROR,"Lyric R. Cabral, David Felix Sutcliffe",,United States,"June 30, 2016",2015,NR,84 min,Documentaries,This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.
s5988,Movie,13 Cameras,Victor Zarcoff,"PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",United States,"August 13, 2016",2015,NR,90 min,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras."
s6016,Movie,4th Man Out,Andrew Nackman,"Evan Todd, Parker Young, Chord Overstreet, Jon Gabrus, Kate Flannery, Brooke Dillman, Jennifer Damiano, Jordan Lane Price, Alex Rennie, Jake Epstein",United States,"May 5, 2016",2015,NR,86 min,"Comedies, LGBTQ Movies","A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy."
s6055,Movie,A Russell Peters Christmas,Henry Sarwer-Foner,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",Canada,"November 1, 2013",2011,NR,44 min,Stand-Up Comedy,"Inspired by the variety shows of the 1970s, ""A Russell Peters Christmas"" is a sweet, silly, sentimental and, most of all, funny Christmas special."
s6088,Movie,Act of Vengeance,Mahsun Kırmızıgül,"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States","September 29, 2018",2010,NR,112 min,"Action & Adventure, International Movies","Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist)."
s6094,Movie,Adventures in Public School,Kyle Rideout,"Daniel Doheny, Judy Greer, Siobhan Williams, Russell Peters, Grace Park, Andrew McNee, Alex Barima, Andrew Herr, Eva Day, Josh Epstein","Canada, United States","August 15, 2018",2018,NR,86 min,Comedies,"After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go."
s6096,Movie,After Porn Ends,Bryce Wagoner,,United States,"May 27, 2019",2012,NR,93 min,Documentaries,"This documentary explores the careers of some of porn's top stars and examines their adjustment to ""normal"" society after leaving adult entertainment."
s6180,Movie,APEX: The Story of the Hypercar,"J.F. Musial, Josh Vietze",Zachary Levi,United States,"August 1, 2016",2016,NR,86 min,Documentaries,"A visionary carmaker introduces his fuel-efficient, high-performance hypercar to a market filled with big-name competitors like Ferrari and Porsche."
s6191,Movie,Asura: The City of Madness,Sung-soo Kim,"Jung-min Hwang, Do-won Kwak, Man-sik Jung, Woo-sung Jung",South Korea,"February 15, 2018",2016,NR,133 min,"Action & Adventure, Dramas, International Movies","Caught between a corrupt mayor and a prosecutor intent on exposing political depravity, a police detective must decide whose side he's on."
s6208,Movie,Back and Forth,José Eduardo Belmonte,"Ingrid Guimarães, Fábio Assunção, Alice Braga, Rosanne Mulholland, Caroline Abras, João Assunção",Brazil,"January 5, 2017",2016,NR,95 min,"Comedies, Dramas, International Movies","When their car breaks down en route to São Paulo, a father and son accept a ride from four beautiful telemarketers who are headed there on holiday."
